ID sire dam generation sex phen env tbvp gebvp
   1 2748 2533 3 M  2.012545112 -3.650765e-01 1.6276313 0
   2 2748 2533 3 M  2.428193105  1.812227e-01 1.7120437 0
   3 2748 2533 3 M  2.844249986  3.465568e-01 1.6267532 0
   4 2748 2533 3 M  1.190993395 -1.063774e+00 1.6475218 0
   5 2748 2533 3 M  3.297855518  5.155677e-01 1.7424984 0
   6 2748 3097 3 F  1.726667376 -7.708232e-02 1.5196789 0
   7 2748 3097 3 M  2.372674934 -2.068564e-01 1.6457204 0
   8 2748 3097 3 M  2.328563084 -1.819084e-02 1.6914631 0
   9 2748 3097 3 F  3.234324272  7.488591e-01 1.6516675 0
  10 2748 3097 3 F  2.062209479  1.916452e-01 1.3979000 0
  11 2341 3001 3 F  2.211237523  2.741139e-01 1.5601396 0
  12 2341 3001 3 M  2.423736375 -2.028787e-01 1.6079681 0
  13 2341 3001 3 F  0.779571253 -1.277658e+00 1.6621139 0
  14 2341 3001 3 F  3.562093122  2.586616e-01 1.8313543 0
  15 2341 3001 3 M  3.211200081  1.076361e+00 1.5362343 0
  16 2341 2662 3 M  2.373687627  6.533667e-01 1.4791800 0
  17 2341 2662 3 F  2.021218416 -1.681227e-01 1.5864789 0
  18 2341 2662 3 M  3.818792954  1.264413e+00 1.6500776 0
  19 2341 2662 3 M  2.346691893 -2.737262e-01 1.7066777 0
  20 2341 2662 3 M  1.145516359 -1.149678e+00 1.5820789 0
  21 2788 2962 3 F  1.085369166 -4.895746e-01 1.4314936 0
  22 2788 2962 3 F  0.257482391 -5.905410e-01 1.1458761 0
  23 2788 2962 3 F  1.145500564 -5.908791e-01 1.4278221 0
  24 2788 2962 3 M  0.987165807 -2.175875e-01 1.2231490 0
  25 2788 2962 3 M  2.743635424  5.496180e-01 1.6061590 0
  26 2788 2652 3 F  2.657658003 -1.461611e-01 1.6863549 0
  27 2788 2652 3 M  3.019170156  8.721738e-02 1.7220170 0
  28 2788 2652 3 F  2.818505746  2.066212e-01 1.6346162 0
  29 2788 2652 3 F  3.128115228  9.358600e-02 1.7356674 0
  30 2788 2652 3 M  2.898486544  5.477640e-01 1.5866377 0
  31 2743 2535 3 M  1.835434878 -6.844986e-01 1.5773890 0
  32 2743 2535 3 F  2.662056896  2.785214e-01 1.6740560 0
  33 2743 2535 3 F  2.610461099 -3.154315e-01 1.7767642 0
  34 2743 2535 3 M  2.170285848  1.397600e-01 1.5985463 0
  35 2743 2535 3 M  2.206984182 -4.912958e-01 1.7276438 0
  36 2743 2623 3 M -0.557513406  4.561276e-01 0.4107640 0
  37 2743 2623 3 F -0.661265023  5.225603e-02 0.5179403 0
  38 2743 2623 3 M -0.711781553 -2.672647e-01 0.7074160 0
  39 2743 2623 3 M -1.797854115 -9.762668e-01 0.6960652 0
  40 2743 2623 3 F -0.700859004  3.200962e-01 0.5855565 0
  41 3076 2926 3 M  1.512054393 -2.040372e-01 1.2635149 0
  42 3076 2926 3 F  1.546259575 -1.209563e+00 1.6672962 0
  43 3076 2926 3 F  1.290059461 -4.999931e-02 1.2246944 0
  44 3076 2926 3 M  1.434673993  3.695381e-02 1.2726118 0
  45 3076 2926 3 M  2.631503112  1.195630e+00 1.3775886 0
  46 3076 3045 3 F  1.346315068 -9.723921e-01 1.5923008 0
  47 3076 3045 3 F  2.264488866  2.768080e-01 1.5466635 0
  48 3076 3045 3 M  2.418553295 -7.433649e-02 1.6555645 0
  49 3076 3045 3 F  2.207395935 -4.514525e-01 1.6789445 0
  50 3076 3045 3 F  2.328896475 -1.151629e-02 1.5693727 0
  51 2377 2826 3 M  0.779701921 -3.056903e-01 1.3429621 0
  52 2377 2826 3 M  1.169178901 -4.499433e-01 1.4389726 0
  53 2377 2826 3 M  2.051675951  1.647351e-01 1.5626167 0
  54 2377 2826 3 F  2.557157945  8.921890e-01 1.4093880 0
  55 2377 2826 3 F  2.154391748  1.838749e-01 1.5288387 0
  56 2377 2532 3 F  0.815062672 -4.826703e-01 1.3140382 0
  57 2377 2532 3 M -0.155583305 -1.819162e+00 1.3118999 0
  58 2377 2532 3 F  0.390789069 -9.712723e-01 1.3736539 0
  59 2377 2532 3 F  3.980996545  1.559258e+00 1.5561892 0
  60 2377 2532 3 F  1.363921368 -5.828035e-02 1.3876641 0
  61 3059 2706 3 F  2.287928696  2.095910e-01 1.5752137 0
  62 3059 2706 3 F  2.116995644 -6.258438e-01 1.7112629 0
  63 3059 2706 3 F  1.063754387 -1.477101e-01 1.4331759 0
  64 3059 2706 3 M  1.649805089 -8.498921e-01 1.6548243 0
  65 3059 2706 3 F  3.858970521  1.351359e+00 1.6729021 0
  66 3059 2655 3 M  2.767009847 -1.131257e-01 1.7373197 0
  67 3059 2655 3 M  2.964448027 -6.704913e-02 1.7552346 0
  68 3059 2655 3 F  2.737289213  4.074270e-01 1.5878143 0
  69 3059 2655 3 M  2.111534094 -9.795289e-01 1.7703607 0
  70 3059 2655 3 F  0.621464105 -1.727263e+00 1.5903991 0
  71 2372 2711 3 F  0.868504399  2.836631e-01 1.1496142 0
  72 2372 2711 3 M  1.170442942 -7.665735e-02 1.3768302 0
  73 2372 2711 3 F  1.113762608 -5.380303e-02 1.2646985 0
  74 2372 2711 3 M  1.124199760 -5.765571e-01 1.3558530 0
  75 2372 2711 3 M  2.237852120 -1.515887e-01 1.6365233 0
  76 2372 3279 3 F  1.239011559 -7.977202e-01 1.5391029 0
  77 2372 3279 3 F  1.686676308  1.344123e-01 1.4704181 0
  78 2372 3279 3 M  2.895179413  9.462777e-01 1.5864678 0
  79 2372 3279 3 F  1.391450474  9.144793e-02 1.4150242 0
  80 2372 3279 3 F  1.628151022  5.563147e-02 1.3849352 0
  81 3252 2370 3 M  1.375052509  3.453331e-01 1.2478463 0
  82 3252 2370 3 M  3.011933944 -1.976294e-01 1.9546808 0
  83 3252 2370 3 M  1.786546188 -6.546602e-01 1.7105336 0
  84 3252 2370 3 M  4.445012219  1.146725e+00 1.8589998 0
  85 3252 2370 3 F  3.014481245  7.423748e-01 1.5401193 0
  86 3252 2307 3 M  2.353542018 -1.208570e-01 1.7459189 0
  87 3252 2307 3 M  2.534221228  5.446956e-01 1.5418250 0
  88 3252 2307 3 F  5.198347386  1.521980e+00 2.0974338 0
  89 3252 2307 3 F  3.675977205  3.717651e-01 2.0303822 0
  90 3252 2307 3 M  2.812162206 -3.400000e-02 1.8869902 0
  91 3057 3048 3 M  2.499926611  1.566935e-02 1.6472117 0
  92 3057 3048 3 F  2.930283008 -7.861730e-02 1.7017603 0
  93 3057 3048 3 M  3.908402820  6.343507e-01 1.9778146 0
  94 3057 3048 3 M  0.659142276 -1.061252e+00 1.5861927 0
  95 3057 3048 3 F  1.930432435 -2.659727e-01 1.6302939 0
  96 3057 2368 3 F  2.638886690  9.849513e-01 1.5843751 0
  97 3057 2368 3 M  0.256084782 -9.265704e-01 1.4654919 0
  98 3057 2368 3 F  2.325762057  4.660713e-01 1.5732385 0
