id sire dam generation sex phen env tbvp gebvp
151  63  51 1 F  0.44469036 -1.8249981866 1.7953907 0
152  63  51 1 F  2.25260168  0.3648214843 1.6601859 0
153  63  51 1 F -0.75954994 -1.4884038117 1.1872033 0
154  63  51 1 M  3.18865757  2.2896310221 1.1348696 0
155  63  51 1 F  0.03652504 -0.5961078769 1.0511184 0
156  63 134 1 M  1.56045495  0.4347404247 0.8996460 0
157  63 134 1 M  2.41257321  0.5131022810 1.6975284 0
158  63 134 1 F  0.17715709 -0.9857064379 1.3347509 0
159  63 134 1 M  1.35429943  0.7362694273 0.8549565 0
160  63 134 1 M  2.64136296  1.1950052890 1.6311145 0
161  82  65 1 F -0.43841397 -1.0309392921 1.2078673 0
162  82  65 1 F  0.97883904 -1.0080528325 1.4222996 0
163  82  65 1 M  2.42771026  0.4317759861 1.6105022 0
164  82  65 1 M  1.26592749 -0.8265805282 1.5380304 0
165  82  65 1 M  1.14836256 -0.4638474260 1.5949086 0
166  82  66 1 F  1.34083512  0.1322293240 1.4126532 0
167  82  66 1 F  0.69211049 -1.6050391206 1.6800539 0
168  82  66 1 M  1.80237712  0.0004328885 1.4367911 0
169  82  66 1 F  1.23929344  0.5307706200 1.2960264 0
170  82  66 1 M  2.29828697  0.7603716565 1.5786538 0
171 192  39 1 F  0.59910578  0.0014541758 1.5057046 0
172 192  39 1 F  4.63440895  2.1965962509 1.7735413 0
173 192  39 1 M  2.96950143  1.6051968626 1.5596602 0
174 192  39 1 F  0.65385696 -1.4707331560 1.9498312 0
175 192  39 1 M  1.57777638 -0.0735899471 1.6236497 0
176 192  21 1 F  2.11220555  0.3365885650 1.7092628 0
177 192  21 1 M  3.60774549  1.4203652507 1.7635183 0
178 192  21 1 M  1.69390343  0.0906436701 1.9152765 0
179 192  21 1 M  1.94165292 -0.1302832490 1.8578810 0
180 192  21 1 M  2.46797547  0.2409910358 1.7254706 0
181 126 191 1 M  2.06963166 -0.4917718300 1.7852466 0
182 126 191 1 F  0.75496296 -1.6684913324 2.0782300 0
183 126 191 1 F  1.04813307 -1.0529285023 1.6924454 0
184 126 191 1 F  2.75251351 -0.1568588857 1.9655873 0
185 126 191 1 M  0.82671310 -1.3536484347 1.9595857 0
186 126 198 1 F  2.02235372 -0.5452918058 1.8642792 0
187 126 198 1 F  1.57232863 -1.0989515845 2.0103129 0
188 126 198 1 F  1.18968448 -0.3010379127 1.7464182 0
189 126 198 1 M  2.73529805  0.0661109870 1.8779050 0
190 126 198 1 M  3.59920932  1.1357160670 1.7701356 0
