ID Generation Chr Freq.Allele1 Freq.Allele2
  Q1 0 1 0.49333334 0.5066667
  Q2 0 1 0.70999998 0.2900000
  Q3 0 1 0.41000000 0.5900000
  Q4 0 1 0.40333334 0.5966667
  Q5 0 1 0.50333333 0.4966667
  Q6 0 1 0.39666668 0.6033333
  Q7 0 1 0.36333334 0.6366667
  Q8 0 1 0.73333335 0.2666667
  Q9 0 1 0.31999999 0.6800000
 Q10 0 1 0.76333332 0.2366667
 Q11 0 1 0.21333334 0.7866667
 Q12 0 1 0.19333333 0.8066667
 Q13 0 1 0.33333334 0.6666667
 Q14 0 1 0.36000001 0.6400000
 Q15 0 1 0.72666669 0.2733333
 Q16 0 1 0.75999999 0.2400000
 Q17 0 1 0.54000002 0.4600000
 Q18 0 1 0.30333334 0.6966667
 Q19 0 1 0.85000002 0.1500000
 Q20 0 1 0.81999999 0.1800000
 Q21 0 1 0.85666668 0.1433333
 Q22 0 1 0.77333331 0.2266667
 Q23 0 1 0.49333334 0.5066667
 Q24 0 1 0.88666666 0.1133333
 Q25 0 1 0.28000000 0.7200000
 Q26 0 1 0.24333334 0.7566667
 Q27 0 1 0.30666667 0.6933333
 Q28 0 1 0.52666664 0.4733334
 Q29 0 1 0.37666667 0.6233333
 Q30 0 1 0.62333333 0.3766667
 Q31 0 1 0.66666669 0.3333333
 Q32 0 1 0.15333334 0.8466667
 Q33 0 1 0.30000001 0.7000000
 Q34 0 1 0.24666667 0.7533333
 Q35 0 2 0.73666668 0.2633333
 Q36 0 2 0.33666667 0.6633333
 Q37 0 2 0.49000001 0.5100000
 Q38 0 2 0.26333332 0.7366667
 Q39 0 2 0.63333333 0.3666667
 Q40 0 2 0.63000000 0.3700000
 Q41 0 2 0.25999999 0.7400000
 Q42 0 2 0.89333332 0.1066667
 Q43 0 2 0.35666665 0.6433333
 Q44 0 2 0.47999999 0.5200000
 Q45 0 2 0.43333334 0.5666667
 Q46 0 2 0.37666667 0.6233333
 Q47 0 2 0.44999999 0.5500000
 Q48 0 2 0.65666670 0.3433333
 Q49 0 2 0.61000001 0.3900000
 Q50 0 2 0.52999997 0.4700000
 Q51 0 2 0.82666665 0.1733333
 Q52 0 2 0.20666666 0.7933333
 Q53 0 2 0.45333335 0.5466667
 Q54 0 2 0.32333332 0.6766667
 Q55 0 2 0.14666666 0.8533333
 Q56 0 2 0.49000001 0.5100000
 Q57 0 2 0.58999997 0.4100000
 Q58 0 2 0.52666664 0.4733334
 Q59 0 2 0.20333333 0.7966667
 Q60 0 2 0.86333334 0.1366667
 Q61 0 2 0.41999999 0.5800000
 Q62 0 2 0.46666667 0.5333333
 Q63 0 2 0.54666668 0.4533333
 Q64 0 2 0.57333332 0.4266667
 Q65 0 2 0.70999998 0.2900000
 Q66 0 2 0.15666667 0.8433333
 Q67 0 2 0.22000000 0.7800000
 Q68 0 2 0.20000000 0.8000000
 Q69 0 2 0.35666665 0.6433333
 Q70 0 2 0.60333335 0.3966666
 Q71 0 2 0.54666668 0.4533333
 Q72 0 2 0.88999999 0.1100000
 Q73 0 2 0.67000002 0.3300000
 Q74 0 2 0.23333333 0.7666667
 Q75 0 2 0.77999997 0.2200000
 Q76 0 3 0.46333334 0.5366667
 Q77 0 3 0.51333332 0.4866667
 Q78 0 3 0.58999997 0.4100000
 Q79 0 3 0.71666664 0.2833334
 Q80 0 3 0.87666667 0.1233333
 Q81 0 3 0.66666669 0.3333333
 Q82 0 3 0.72000003 0.2800000
 Q83 0 3 0.65666670 0.3433333
 Q84 0 3 0.19000000 0.8100000
 Q85 0 3 0.25999999 0.7400000
 Q86 0 3 0.24333334 0.7566667
 Q87 0 3 0.50999999 0.4900000
 Q88 0 3 0.84333330 0.1566667
 Q89 0 3 0.25000000 0.7500000
 Q90 0 3 0.48666668 0.5133333
 Q91 0 3 0.53333336 0.4666666
 Q92 0 3 0.32666665 0.6733333
 Q93 0 3 0.38000000 0.6200000
 Q94 0 3 0.66333336 0.3366666
 Q95 0 3 0.32666665 0.6733333
 Q96 0 3 0.61333334 0.3866667
 Q97 0 3 0.39666668 0.6033333
 Q98 0 3 0.19666667 0.8033333
 Q99 0 3 0.88999999 0.1100000
Q100 0 3 0.37000000 0.6300000
Q101 0 3 0.09666666 0.9033333
Q102 0 3 0.85333335 0.1466666
Q103 0 3 0.69999999 0.3000000
Q104 0 3 0.77666664 0.2233334
Q105 0 3 0.12000000 0.8800000
Q106 0 3 0.83666664 0.1633334
Q107 0 3 0.25999999 0.7400000
Q108 0 3 0.73666668 0.2633333
Q109 0 3 0.69000000 0.3100000
Q110 0 3 0.56999999 0.4300000
Q111 0 3 0.68666667 0.3133333
Q112 0 3 0.63000000 0.3700000
Q113 0 3 0.30333334 0.6966667
Q114 0 3 0.40333334 0.5966667
Q115 0 3 0.17000000 0.8300000
