ID Generation Chr Freq.Allele1 Freq.Allele2
   M1 10 1 0.148 0.851999998
   M2 10 1 0.061 0.938999999
   M3 10 1 0.751 0.249000013
   M4 10 1 0.873 0.126999974
   M5 10 1 0.504 0.495999992
   M6 10 1 0.960 0.040000021
   M7 10 1 0.714 0.286000013
   M8 10 1 0.340 0.659999996
   M9 10 1 0.107 0.892999999
  M10 10 1 0.602 0.398000002
  M11 10 1 0.666 0.333999991
  M12 10 1 0.943 0.056999981
  M13 10 1 0.319 0.680999994
  M14 10 1 0.569 0.430999994
  M15 10 1 0.761 0.239000022
  M16 10 1 0.397 0.602999985
  M17 10 1 0.517 0.482999980
  M18 10 1 0.040 0.960000001
  M19 10 1 0.794 0.205999970
  M20 10 1 0.636 0.364000022
  M21 10 1 0.085 0.914999999
  M22 10 1 0.392 0.608000010
  M23 10 1 0.520 0.480000019
  M24 10 1 0.539 0.461000025
  M25 10 1 0.697 0.302999973
  M26 10 1 0.393 0.606999993
  M27 10 1 0.391 0.608999997
  M28 10 1 0.790 0.209999979
  M29 10 1 0.856 0.143999994
  M30 10 1 0.148 0.851999998
  M31 10 1 0.069 0.931000002
  M32 10 1 0.350 0.650000006
  M33 10 1 0.367 0.632999986
  M34 10 1 0.239 0.761000007
  M35 10 1 0.802 0.198000014
  M36 10 1 0.169 0.831000000
  M37 10 1 0.505 0.495000005
  M38 10 1 0.600 0.399999976
  M39 10 1 0.143 0.856999993
  M40 10 1 0.861 0.138999999
  M41 10 1 0.328 0.671999991
  M42 10 1 0.626 0.374000013
  M43 10 1 0.823 0.176999986
  M44 10 1 0.101 0.898999996
  M45 10 1 0.309 0.691000015
  M46 10 1 0.570 0.430000007
  M47 10 1 0.647 0.352999985
  M48 10 1 0.349 0.650999993
  M49 10 1 0.399 0.601000011
  M50 10 1 0.474 0.525999993
  M51 10 1 0.474 0.525999993
  M52 10 1 0.706 0.294000030
  M53 10 1 0.645 0.355000019
  M54 10 1 0.346 0.654000014
  M55 10 1 0.634 0.365999997
  M56 10 1 0.041 0.958999999
  M57 10 1 0.449 0.550999999
  M58 10 1 0.788 0.212000012
  M59 10 1 0.733 0.267000020
  M60 10 1 0.263 0.736999989
  M61 10 1 0.328 0.671999991
  M62 10 1 0.842 0.157999992
  M63 10 1 0.683 0.316999972
  M64 10 1 0.037 0.963000000
  M65 10 1 0.048 0.952000000
  M66 10 1 0.621 0.379000008
  M67 10 1 0.766 0.234000027
  M68 10 1 0.535 0.464999974
  M69 10 1 0.796 0.203999996
  M70 10 1 0.825 0.175000012
  M71 10 1 0.809 0.190999985
  M72 10 1 0.743 0.257000029
  M73 10 1 0.837 0.162999988
  M74 10 1 0.707 0.292999983
  M75 10 1 0.410 0.590000004
  M76 10 1 0.507 0.492999971
  M77 10 1 0.547 0.453000009
  M78 10 1 0.433 0.567000002
  M79 10 1 0.416 0.583999991
  M80 10 1 0.570 0.430000007
  M81 10 1 0.222 0.777999997
  M82 10 1 0.332 0.668000013
  M83 10 1 0.561 0.439000010
  M84 10 1 0.433 0.567000002
  M85 10 1 0.490 0.509999990
  M86 10 1 0.863 0.137000024
  M87 10 1 0.821 0.179000020
  M88 10 1 0.433 0.567000002
  M89 10 1 0.658 0.342000008
  M90 10 1 0.543 0.457000017
  M91 10 1 0.575 0.425000012
  M92 10 1 0.729 0.271000028
  M93 10 1 0.344 0.655999988
  M94 10 1 0.377 0.622999996
  M95 10 1 0.506 0.494000018
  M96 10 1 0.144 0.856000006
  M97 10 1 0.395 0.604999989
  M98 10 1 0.537 0.463000000
  M99 10 1 0.350 0.650000006
 M100 10 1 0.289 0.710999995
 M101 10 1 0.090 0.909999996
 M102 10 1 0.363 0.636999995
 M103 10 1 0.496 0.504000008
 M104 10 1 0.169 0.831000000
 M105 10 1 0.647 0.352999985
 M106 10 1 0.389 0.611000001
 M107 10 1 0.574 0.425999999
