ID Generation Chr Freq.Allele1 Freq.Allele2
   M1 2 1 0.326 0.67399999
   M2 2 1 0.793 0.20700002
   M3 2 1 0.702 0.29799998
   M4 2 1 0.115 0.88500000
   M5 2 1 0.091 0.90900000
   M6 2 1 0.252 0.74800000
   M7 2 1 0.886 0.11400002
   M8 2 1 0.914 0.08600003
   M9 2 1 0.240 0.76000001
  M10 2 1 0.188 0.81200001
  M11 2 1 0.906 0.09399998
  M12 2 1 0.681 0.31900001
  M13 2 1 0.454 0.54600000
  M14 2 1 0.117 0.88300000
  M15 2 1 0.648 0.35200000
  M16 2 1 0.516 0.48400003
  M17 2 1 0.889 0.11100000
  M18 2 1 0.745 0.25500000
  M19 2 1 0.778 0.22200000
  M20 2 1 0.255 0.74500000
  M21 2 1 0.144 0.85600001
  M22 2 1 0.340 0.66000000
  M23 2 1 0.262 0.73800001
  M24 2 1 0.548 0.45200002
  M25 2 1 0.080 0.92000000
  M26 2 1 0.203 0.79700001
  M27 2 1 0.208 0.79200000
  M28 2 1 0.649 0.35100001
  M29 2 1 0.552 0.44800001
  M30 2 1 0.371 0.62900001
  M31 2 1 0.455 0.54499999
  M32 2 1 0.359 0.64100000
  M33 2 1 0.517 0.48299998
  M34 2 1 0.776 0.22399998
  M35 2 1 0.472 0.52800000
  M36 2 1 0.163 0.83700000
  M37 2 1 0.313 0.68700001
  M38 2 1 0.638 0.36199999
  M39 2 1 0.637 0.36299998
  M40 2 1 0.858 0.14200002
  M41 2 1 0.694 0.30599999
  M42 2 1 0.341 0.65900001
  M43 2 1 0.351 0.64899999
  M44 2 1 0.815 0.18500000
  M45 2 1 0.195 0.80500001
  M46 2 1 0.893 0.10699999
  M47 2 1 0.719 0.28100002
  M48 2 1 0.333 0.66700000
  M49 2 1 0.423 0.57699999
  M50 2 1 0.398 0.60200000
  M51 2 1 0.466 0.53400001
  M52 2 1 0.460 0.53999999
  M53 2 1 0.080 0.92000000
  M54 2 1 0.419 0.58100000
  M55 2 1 0.941 0.05900002
  M56 2 1 0.905 0.09500003
  M57 2 1 0.356 0.64399999
  M58 2 1 0.752 0.24800003
  M59 2 1 0.241 0.75900000
  M60 2 1 0.060 0.94000000
  M61 2 1 0.589 0.41100001
  M62 2 1 0.286 0.71399999
  M63 2 1 0.327 0.67300001
  M64 2 1 0.389 0.61100000
  M65 2 1 0.685 0.31500000
  M66 2 1 0.487 0.51300001
  M67 2 1 0.613 0.38700002
  M68 2 1 0.149 0.85100000
  M69 2 1 0.570 0.43000001
  M70 2 1 0.439 0.56099999
  M71 2 1 0.389 0.61100000
  M72 2 1 0.574 0.42600000
  M73 2 1 0.711 0.28899997
  M74 2 1 0.302 0.69800001
  M75 2 1 0.845 0.15499997
  M76 2 1 0.171 0.82900000
  M77 2 1 0.844 0.15600002
  M78 2 1 0.896 0.10399997
  M79 2 1 0.394 0.60600001
  M80 2 1 0.286 0.71399999
  M81 2 1 0.191 0.80900000
  M82 2 1 0.365 0.63499999
  M83 2 1 0.470 0.53000000
  M84 2 1 0.660 0.33999997
  M85 2 1 0.477 0.52300000
  M86 2 1 0.347 0.65300000
  M87 2 1 0.418 0.58199999
  M88 2 1 0.535 0.46499997
  M89 2 1 0.296 0.70400000
  M90 2 1 0.892 0.10799998
  M91 2 1 0.072 0.92800000
  M92 2 1 0.201 0.79899999
  M93 2 1 0.368 0.63200000
  M94 2 1 0.405 0.59500000
  M95 2 1 0.710 0.29000002
  M96 2 1 0.892 0.10799998
  M97 2 1 0.291 0.70899999
  M98 2 1 0.604 0.39600003
  M99 2 1 0.292 0.70800000
 M100 2 1 0.546 0.45400000
 M101 2 1 0.068 0.93200000
 M102 2 1 0.408 0.59200001
 M103 2 1 0.320 0.68000001
 M104 2 1 0.677 0.32300001
 M105 2 1 0.555 0.44499999
 M106 2 1 0.289 0.71100000
 M107 2 1 0.807 0.19300002
 M108 2 1 0.176 0.82400000
 M109 2 1 0.222 0.77800000
 M110 2 1 0.417 0.58300000
 M111 2 1 0.196 0.80400001
 M112 2 1 0.302 0.69800001
 M113 2 1 0.632 0.36799997
 M114 2 1 0.436 0.56400001
 M115 2 1 0.370 0.63000000
 M116 2 1 0.491 0.50900000
 M117 2 1 0.348 0.65200001
 M118 2 1 0.551 0.44900000
 M119 2 1 0.812 0.18800002
 M120 2 1 0.325 0.67500001
 M121 2 1 0.717 0.28299999
 M122 2 1 0.556 0.44400001
 M123 2 1 0.503 0.49699998
 M124 2 1 0.936 0.06400001
 M125 2 1 0.680 0.31999999
 M126 2 1 0.513 0.48699999
 M127 2 1 0.920 0.07999998
 M128 2 1 0.076 0.92400000
 M129 2 1 0.178 0.82200000
 M130 2 1 0.681 0.31900001
 M131 2 1 0.063 0.93700000
 M132 2 1 0.499 0.50099999
 M133 2 1 0.905 0.09500003
 M134 2 1 0.680 0.31999999
 M135 2 1 0.344 0.65599999
 M136 2 1 0.430 0.56999999
 M137 2 1 0.287 0.71300000
 M138 2 1 0.579 0.42100000
 M139 2 1 0.589 0.41100001
 M140 2 1 0.273 0.72700000
 M141 2 1 0.851 0.14899999
 M142 2 1 0.364 0.63600001
 M143 2 1 0.455 0.54499999
 M144 2 1 0.577 0.42299998
 M145 2 1 0.879 0.12099999
 M146 2 1 0.579 0.42100000
 M147 2 1 0.468 0.53200001
 M148 2 1 0.707 0.29299998
 M149 2 1 0.797 0.20300001
 M150 2 1 0.599 0.40100002
 M151 2 1 0.689 0.31099999
 M152 2 1 0.074 0.92600000
 M153 2 1 0.183 0.81700000
 M154 2 1 0.168 0.83200000
 M155 2 1 0.202 0.79799999
 M156 2 1 0.749 0.25099999
 M157 2 1 0.865 0.13499999
 M158 2 1 0.772 0.22799999
 M159 2 1 0.501 0.49900001
 M160 2 1 0.236 0.76400000
 M161 2 1 0.237 0.76300000
 M162 2 1 0.700 0.30000001
 M163 2 1 0.942 0.05800003
 M164 2 1 0.089 0.91100000
 M165 2 1 0.856 0.14399999
 M166 2 1 0.125 0.87500000
 M167 2 1 0.440 0.56000000
 M168 2 1 0.654 0.34600002
 M169 2 1 0.194 0.80599999
 M170 2 1 0.527 0.47299999
 M171 2 1 0.343 0.65700001
 M172 2 1 0.304 0.69600001
 M173 2 1 0.098 0.90200000
 M174 2 1 0.950 0.05000001
 M175 2 1 0.204 0.79600000
 M176 2 1 0.355 0.64500001
 M177 2 1 0.713 0.28700000
 M178 2 1 0.040 0.96000000
 M179 2 1 0.838 0.16200000
 M180 2 1 0.677 0.32300001
 M181 2 1 0.576 0.42400002
 M182 2 1 0.259 0.74100000
 M183 2 1 0.618 0.38200003
 M184 2 1 0.223 0.77700000
 M185 2 1 0.342 0.65799999
 M186 2 1 0.361 0.63900000
 M187 2 1 0.145 0.85500000
