ID Generation Chr Freq.Allele1 Freq.Allele2
  Q1 5 1 0.1025 0.897500001
  Q2 5 1 0.5915 0.408500016
  Q3 5 1 0.7200 0.279999971
  Q4 5 1 0.7285 0.271499991
  Q5 5 1 0.2960 0.703999996
  Q6 5 1 0.6905 0.309499979
  Q7 5 1 0.3910 0.608999997
  Q8 5 1 0.0645 0.935500003
  Q9 5 1 0.3870 0.613000005
 Q10 5 1 0.2450 0.754999995
 Q11 5 1 0.5840 0.416000009
 Q12 5 1 0.6415 0.358500004
 Q13 5 1 0.9600 0.040000021
 Q14 5 1 0.5405 0.459500015
 Q15 5 1 0.8880 0.111999989
 Q16 5 1 0.6745 0.325500011
 Q17 5 1 0.5710 0.429000020
 Q18 5 1 0.2770 0.722999990
 Q19 5 1 0.3385 0.661500007
 Q20 5 1 0.1655 0.834500000
 Q21 5 1 0.5380 0.462000012
 Q22 5 1 0.9815 0.018499970
 Q23 5 1 0.5705 0.429499984
 Q24 5 1 0.1685 0.831499994
 Q25 5 1 0.7750 0.225000024
 Q26 5 1 0.8515 0.148500025
 Q27 5 1 0.4920 0.507999986
 Q28 5 1 0.5650 0.435000002
 Q29 5 1 0.2230 0.776999995
 Q30 5 1 1.0000 0.000000000
 Q31 5 1 0.7400 0.259999990
 Q32 5 1 0.0880 0.912000000
 Q33 5 1 0.9540 0.046000004
 Q34 5 2 0.8110 0.189000010
 Q35 5 2 0.3410 0.659000009
 Q36 5 2 0.6545 0.345499992
 Q37 5 2 0.6485 0.351499975
 Q38 5 2 0.3270 0.673000008
 Q39 5 2 0.8105 0.189499974
 Q40 5 2 0.0635 0.936499998
 Q41 5 2 0.4515 0.548500001
 Q42 5 2 0.7545 0.245500028
 Q43 5 2 0.9940 0.005999982
 Q44 5 2 0.9045 0.095499992
 Q45 5 2 0.3100 0.689999998
 Q46 5 2 0.8810 0.119000018
 Q47 5 2 0.1715 0.828500003
 Q48 5 2 0.1710 0.828999996
 Q49 5 2 0.8570 0.143000007
 Q50 5 2 0.5235 0.476499975
 Q51 5 2 0.3635 0.636500001
 Q52 5 2 0.2685 0.731500000
 Q53 5 2 0.6740 0.325999975
 Q54 5 2 0.4915 0.508500010
 Q55 5 2 0.2465 0.753500000
 Q56 5 2 0.6665 0.333500028
 Q57 5 2 0.9305 0.069500029
 Q58 5 2 0.5875 0.412500024
 Q59 5 2 0.7030 0.296999991
 Q60 5 2 0.8355 0.164499998
 Q61 5 2 0.9665 0.033500016
 Q62 5 2 0.4790 0.520999998
 Q63 5 2 0.5955 0.404500008
 Q64 5 2 0.6260 0.374000013
 Q65 5 2 0.2730 0.726999998
 Q66 5 2 0.2545 0.745499998
 Q67 5 2 0.7065 0.293500006
 Q68 5 2 0.8540 0.146000028
 Q69 5 2 0.2400 0.760000005
 Q70 5 2 0.3630 0.636999995
 Q71 5 2 0.1380 0.862000003
 Q72 5 2 0.1225 0.877499998
 Q73 5 2 0.2135 0.786500007
 Q74 5 2 0.1710 0.828999996
 Q75 5 3 0.2495 0.750499994
 Q76 5 3 0.5730 0.426999986
 Q77 5 3 0.0315 0.968499999
 Q78 5 3 0.4960 0.504000008
 Q79 5 3 0.7450 0.254999995
 Q80 5 3 0.7610 0.239000022
 Q81 5 3 0.7215 0.278500021
 Q82 5 3 0.5600 0.439999998
 Q83 5 3 0.9860 0.013999999
 Q84 5 3 0.7750 0.225000024
 Q85 5 3 0.3095 0.690499991
 Q86 5 3 0.1560 0.843999997
 Q87 5 3 0.4220 0.578000009
 Q88 5 3 0.4850 0.514999986
 Q89 5 3 0.2715 0.728500009
 Q90 5 3 0.5525 0.447499990
 Q91 5 3 0.3275 0.672500014
 Q92 5 3 0.3475 0.652500004
 Q93 5 3 0.6330 0.366999984
 Q94 5 3 0.8200 0.180000007
 Q95 5 3 0.7845 0.215499997
 Q96 5 3 0.4465 0.553499997
 Q97 5 3 0.8100 0.189999998
 Q98 5 3 0.6920 0.308000028
 Q99 5 3 0.7955 0.204500020
Q100 5 3 0.8085 0.191500008
Q101 5 3 0.0625 0.937500000
Q102 5 3 0.3255 0.674499989
Q103 5 3 0.2980 0.701999992
Q104 5 3 0.8470 0.152999997
Q105 5 3 0.4835 0.516499996
Q106 5 3 0.6725 0.327499986
Q107 5 3 0.3635 0.636500001
Q108 5 3 0.9430 0.056999981
Q109 5 3 0.7775 0.222500026
Q110 5 3 0.6660 0.333999991
Q111 5 3 0.8790 0.120999992
Q112 5 3 0.2410 0.759000003
Q113 5 3 0.6705 0.329500020
Q114 5 3 0.4340 0.566000015
