ID Generation Chr Freq.Allele1 Freq.Allele2
  Q1 10 1 0.780 0.22000003
  Q2 10 1 0.405 0.59500000
  Q3 10 1 0.332 0.66800001
  Q4 10 1 0.142 0.85800000
  Q5 10 1 0.419 0.58100000
  Q6 10 1 0.331 0.66900000
  Q7 10 1 0.199 0.80100000
  Q8 10 1 1.000 0.00000000
  Q9 10 1 0.358 0.64199999
 Q10 10 1 0.116 0.88400000
 Q11 10 1 0.255 0.74500000
 Q12 10 1 0.078 0.92200000
 Q13 10 1 0.245 0.75500000
 Q14 10 1 0.172 0.82799999
 Q15 10 1 0.235 0.76500000
 Q16 10 1 0.825 0.17500001
 Q17 10 1 0.533 0.46700001
 Q18 10 1 0.436 0.56400001
 Q19 10 1 0.695 0.30500001
 Q20 10 1 0.671 0.32900000
 Q21 10 1 0.874 0.12599999
 Q22 10 1 0.132 0.86800000
 Q23 10 1 0.599 0.40100002
 Q24 10 1 0.172 0.82799999
 Q25 10 1 0.790 0.20999998
 Q26 10 1 0.706 0.29400003
 Q27 10 1 0.383 0.61700001
 Q28 10 1 0.765 0.23500001
 Q29 10 1 0.707 0.29299998
 Q30 10 1 0.453 0.54699999
 Q31 10 1 0.039 0.96100000
 Q32 10 1 0.474 0.52599999
 Q33 10 1 0.035 0.96500000
 Q34 10 1 0.555 0.44499999
 Q35 10 2 0.468 0.53200001
 Q36 10 2 0.457 0.54300001
 Q37 10 2 0.610 0.38999999
 Q38 10 2 0.492 0.50799999
 Q39 10 2 0.896 0.10399997
 Q40 10 2 0.657 0.34299999
 Q41 10 2 0.446 0.55399999
 Q42 10 2 0.184 0.81600000
 Q43 10 2 0.518 0.48199999
 Q44 10 2 0.125 0.87500000
 Q45 10 2 0.895 0.10500002
 Q46 10 2 0.392 0.60800001
 Q47 10 2 0.484 0.51600000
 Q48 10 2 0.704 0.29600000
 Q49 10 2 0.350 0.65000001
 Q50 10 2 0.549 0.45099998
 Q51 10 2 0.464 0.53600001
 Q52 10 2 0.568 0.43199998
 Q53 10 2 0.780 0.22000003
 Q54 10 2 0.214 0.78600000
 Q55 10 2 0.924 0.07599998
 Q56 10 2 0.737 0.26300001
 Q57 10 2 0.468 0.53200001
 Q58 10 2 0.102 0.89800000
 Q59 10 2 0.625 0.37500000
 Q60 10 2 0.800 0.19999999
 Q61 10 2 0.266 0.73400000
 Q62 10 2 0.614 0.38599998
 Q63 10 2 0.609 0.39099997
 Q64 10 2 0.342 0.65799999
 Q65 10 2 0.445 0.55500001
 Q66 10 2 0.188 0.81200001
 Q67 10 2 0.603 0.39700001
 Q68 10 2 0.684 0.31599998
 Q69 10 2 0.746 0.25400001
 Q70 10 2 0.775 0.22500002
 Q71 10 2 0.356 0.64399999
 Q72 10 2 0.806 0.19400001
 Q73 10 2 0.891 0.10900003
 Q74 10 2 0.466 0.53400001
 Q75 10 3 0.510 0.49000001
 Q76 10 3 0.893 0.10699999
 Q77 10 3 0.108 0.89200000
 Q78 10 3 0.316 0.68399999
 Q79 10 3 0.454 0.54600000
 Q80 10 3 0.617 0.38300002
 Q81 10 3 0.599 0.40100002
 Q82 10 3 0.886 0.11400002
 Q83 10 3 0.648 0.35200000
 Q84 10 3 0.085 0.91500000
 Q85 10 3 0.330 0.66999999
 Q86 10 3 0.432 0.56799999
 Q87 10 3 0.590 0.41000003
 Q88 10 3 0.636 0.36400002
 Q89 10 3 0.184 0.81600000
 Q90 10 3 0.744 0.25599998
 Q91 10 3 0.613 0.38700002
 Q92 10 3 0.408 0.59200001
 Q93 10 3 0.064 0.93600000
 Q94 10 3 0.599 0.40100002
 Q95 10 3 0.328 0.67199999
 Q96 10 3 0.491 0.50900000
 Q97 10 3 0.348 0.65200001
 Q98 10 3 0.557 0.44300002
 Q99 10 3 0.607 0.39300001
Q100 10 3 0.534 0.46600002
Q101 10 3 0.598 0.40200001
Q102 10 3 0.757 0.24299997
Q103 10 3 0.783 0.21700001
Q104 10 3 0.703 0.29699999
Q105 10 3 0.514 0.48600000
Q106 10 3 0.931 0.06900001
Q107 10 3 0.316 0.68399999
Q108 10 3 0.196 0.80400001
Q109 10 3 0.777 0.22299999
Q110 10 3 0.806 0.19400001
Q111 10 3 0.648 0.35200000
Q112 10 3 0.509 0.49100000
Q113 10 3 0.561 0.43900001
