ID Generation Chr Freq.Allele1 Freq.Allele2
  Q1 7 1 0.0650 0.935000002
  Q2 7 1 0.4565 0.543500006
  Q3 7 1 0.6920 0.308000028
  Q4 7 1 0.7050 0.295000017
  Q5 7 1 0.2590 0.740999997
  Q6 7 1 0.6470 0.352999985
  Q7 7 1 0.3615 0.638500005
  Q8 7 1 0.1275 0.872500002
  Q9 7 1 0.3250 0.675000012
 Q10 7 1 0.3315 0.668500006
 Q11 7 1 0.7025 0.297500014
 Q12 7 1 0.5865 0.413500011
 Q13 7 1 0.9465 0.053499997
 Q14 7 1 0.6050 0.394999981
 Q15 7 1 0.8940 0.106000006
 Q16 7 1 0.7605 0.239499986
 Q17 7 1 0.5930 0.407000005
 Q18 7 1 0.4175 0.582500011
 Q19 7 1 0.3845 0.615500003
 Q20 7 1 0.2020 0.797999993
 Q21 7 1 0.5155 0.484499991
 Q22 7 1 0.9235 0.076499999
 Q23 7 1 0.5110 0.489000022
 Q24 7 1 0.1285 0.871500000
 Q25 7 1 0.7275 0.272499979
 Q26 7 1 0.8665 0.133499980
 Q27 7 1 0.4730 0.527000010
 Q28 7 1 0.3395 0.660499990
 Q29 7 1 0.2645 0.735500008
 Q30 7 1 0.9980 0.001999974
 Q31 7 1 0.8110 0.189000010
 Q32 7 1 0.1865 0.813500002
 Q33 7 1 0.9890 0.010999978
 Q34 7 2 0.8645 0.135500014
 Q35 7 2 0.5005 0.499499977
 Q36 7 2 0.4865 0.513500005
 Q37 7 2 0.6285 0.371500015
 Q38 7 2 0.4795 0.520500004
 Q39 7 2 0.7480 0.251999974
 Q40 7 2 0.0480 0.952000000
 Q41 7 2 0.4515 0.548500001
 Q42 7 2 0.7125 0.287500024
 Q43 7 2 0.9580 0.041999996
 Q44 7 2 0.8945 0.105499983
 Q45 7 2 0.4345 0.565499991
 Q46 7 2 0.8175 0.182500005
 Q47 7 2 0.0485 0.951499999
 Q48 7 2 0.4000 0.599999994
 Q49 7 2 0.8670 0.133000016
 Q50 7 2 0.5390 0.461000025
 Q51 7 2 0.3380 0.662000000
 Q52 7 2 0.1425 0.857500002
 Q53 7 2 0.6785 0.321500003
 Q54 7 2 0.4065 0.593499988
 Q55 7 2 0.3440 0.655999988
 Q56 7 2 0.6900 0.310000002
 Q57 7 2 0.8860 0.114000022
 Q58 7 2 0.7385 0.261500001
 Q59 7 2 0.7725 0.227500021
 Q60 7 2 0.8860 0.114000022
 Q61 7 2 0.9775 0.022499979
 Q62 7 2 0.3500 0.650000006
 Q63 7 2 0.5765 0.423500001
 Q64 7 2 0.7015 0.298500001
 Q65 7 2 0.4820 0.518000007
 Q66 7 2 0.4035 0.596500009
 Q67 7 2 0.7610 0.239000022
 Q68 7 2 0.7565 0.243499994
 Q69 7 2 0.2735 0.726500005
 Q70 7 2 0.4770 0.523000002
 Q71 7 2 0.0850 0.914999999
 Q72 7 2 0.1590 0.841000006
 Q73 7 2 0.2830 0.717000008
 Q74 7 2 0.2330 0.767000005
 Q75 7 3 0.2030 0.797000006
 Q76 7 3 0.5555 0.444500029
 Q77 7 3 0.0265 0.973500000
 Q78 7 3 0.6900 0.310000002
 Q79 7 3 0.6650 0.334999979
 Q80 7 3 0.7435 0.256500006
 Q81 7 3 0.6595 0.340499997
 Q82 7 3 0.7280 0.272000015
 Q83 7 3 0.9530 0.046999991
 Q84 7 3 0.7825 0.217499971
 Q85 7 3 0.2545 0.745499998
 Q86 7 3 0.1095 0.890500002
 Q87 7 3 0.4190 0.581000000
 Q88 7 3 0.5665 0.433499992
 Q89 7 3 0.4425 0.557500005
 Q90 7 3 0.6960 0.304000020
 Q91 7 3 0.6025 0.397499979
 Q92 7 3 0.3600 0.639999986
 Q93 7 3 0.3680 0.631999999
 Q94 7 3 0.8110 0.189000010
 Q95 7 3 0.7570 0.242999971
 Q96 7 3 0.5435 0.456499994
 Q97 7 3 0.7025 0.297500014
 Q98 7 3 0.5570 0.443000019
 Q99 7 3 0.9600 0.040000021
Q100 7 3 0.9575 0.042500019
Q101 7 3 0.0495 0.950500000
Q102 7 3 0.3165 0.683499992
Q103 7 3 0.4075 0.592500001
Q104 7 3 0.8500 0.149999976
Q105 7 3 0.5250 0.475000024
Q106 7 3 0.6855 0.314499974
Q107 7 3 0.3410 0.659000009
Q108 7 3 0.9680 0.032000005
Q109 7 3 0.7920 0.208000004
Q110 7 3 0.5925 0.407500029
Q111 7 3 0.8495 0.150500000
Q112 7 3 0.3250 0.675000012
Q113 7 3 0.6130 0.387000024
Q114 7 3 0.4450 0.555000007
